country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,47,Current prices,1994,AUD,Millions,24418.0,NPI,17580.96,1
AUS,68A,Current prices,1994,AUD,Millions,38207.0,NPI,27509.039999999997,1
AUS,TOT,Current prices,1995,AUD,Millions,485499.0,NPI,349559.27999999997,99
AUS,A,Current prices,1995,AUD,Millions,17875.0,NPI,12870.0,3
AUS,B,Current prices,1995,AUD,Millions,24131.0,NPI,17374.32,5
AUS,C,Current prices,1995,AUD,Millions,67361.0,NPI,48499.92,24
AUS,D,Current prices,1995,AUD,Millions,14564.0,NPI,10486.08,1
AUS,F,Current prices,1995,AUD,Millions,31264.0,NPI,22510.079999999998,3
AUS,G,Current prices,1995,AUD,Millions,53414.0,NPI,38458.08,2
AUS,H,Current prices,1995,AUD,Millions,25748.0,NPI,18538.559999999998,5
AUS,I,Current prices,1995,AUD,Millions,12871.0,NPI,9267.119999999999,2
AUS,J,Current prices,1995,AUD,Millions,19123.0,NPI,13768.56,2
AUS,K,Current prices,1995,AUD,Millions,39258.0,NPI,28265.76,3
AUS,L,Current prices,1995,AUD,Millions,51187.0,NPI,36854.64,1
AUS,M,Current prices,1995,AUD,Millions,21948.0,NPI,15802.56,7
AUS,N,Current prices,1995,AUD,Millions,9888.0,NPI,7119.36,6
AUS,O,Current prices,1995,AUD,Millions,30731.0,NPI,22126.32,1
AUS,P,Current prices,1995,AUD,Millions,23240.0,NPI,16732.8,1
AUS,Q,Current prices,1995,AUD,Millions,27656.0,NPI,19912.32,3
AUS,R,Current prices,1995,AUD,Millions,4549.0,NPI,3275.2799999999997,4
AUS,S,Current prices,1995,AUD,Millions,10691.0,NPI,7697.5199999999995,3
AUS,46,Current prices,1995,AUD,Millions,26843.0,NPI,19326.96,1
AUS,47,Current prices,1995,AUD,Millions,26571.0,NPI,19131.12,1
AUS,68A,Current prices,1995,AUD,Millions,39405.0,NPI,28371.6,1
AUS,TOT,Current prices,1996,AUD,Millions,511116.0,NPI,368003.51999999996,99
AUS,A,Current prices,1996,AUD,Millions,17979.0,NPI,12944.88,3
AUS,B,Current prices,1996,AUD,Millions,23994.0,NPI,17275.68,5
AUS,C,Current prices,1996,AUD,Millions,68440.0,NPI,49276.799999999996,24
AUS,D,Current prices,1996,AUD,Millions,14522.0,NPI,10455.84,1
AUS,F,Current prices,1996,AUD,Millions,33306.0,NPI,23980.32,3
AUS,G,Current prices,1996,AUD,Millions,56453.0,NPI,40646.159999999996,2
AUS,H,Current prices,1996,AUD,Millions,26865.0,NPI,19342.8,5
AUS,I,Current prices,1996,AUD,Millions,13291.0,NPI,9569.52,2
AUS,J,Current prices,1996,AUD,Millions,20616.0,NPI,14843.519999999999,2
AUS,K,Current prices,1996,AUD,Millions,41474.0,NPI,29861.28,3
AUS,L,Current prices,1996,AUD,Millions,56279.0,NPI,40520.88,1
AUS,M,Current prices,1996,AUD,Millions,23542.0,NPI,16950.239999999998,7
AUS,N,Current prices,1996,AUD,Millions,10269.0,NPI,7393.679999999999,6
AUS,O,Current prices,1996,AUD,Millions,33684.0,NPI,24252.48,1
AUS,P,Current prices,1996,AUD,Millions,25022.0,NPI,18015.84,1
AUS,Q,Current prices,1996,AUD,Millions,29183.0,NPI,21011.76,3
AUS,R,Current prices,1996,AUD,Millions,4848.0,NPI,3490.56,4
AUS,S,Current prices,1996,AUD,Millions,11349.0,NPI,8171.28,3
AUS,46,Current prices,1996,AUD,Millions,27900.0,NPI,20088.0,1
AUS,47,Current prices,1996,AUD,Millions,28553.0,NPI,20558.16,1
AUS,68A,Current prices,1996,AUD,Millions,43419.0,NPI,31261.68,1
AUS,TOT,Current prices,1997,AUD,Millions,541831.0,NPI,390118.32,99
AUS,A,Current prices,1997,AUD,Millions,17848.0,NPI,12850.56,3
AUS,B,Current prices,1997,AUD,Millions,25620.0,NPI,18446.399999999998,5
AUS,C,Current prices,1997,AUD,Millions,73433.0,NPI,52871.759999999995,24
AUS,D,Current prices,1997,AUD,Millions,15664.0,NPI,11278.08,1
AUS,F,Current prices,1997,AUD,Millions,34726.0,NPI,25002.719999999998,3
AUS,G,Current prices,1997,AUD,Millions,58046.0,NPI,41793.119999999995,2
AUS,H,Current prices,1997,AUD,Millions,27923.0,NPI,20104.559999999998,5
AUS,I,Current prices,1997,AUD,Millions,14518.0,NPI,10452.96,2
AUS,J,Current prices,1997,AUD,Millions,22956.0,NPI,16528.32,2
AUS,K,Current prices,1997,AUD,Millions,45021.0,NPI,32415.12,3
AUS,L,Current prices,1997,AUD,Millions,60010.0,NPI,43207.2,1
AUS,M,Current prices,1997,AUD,Millions,25781.0,NPI,18562.32,7
AUS,N,Current prices,1997,AUD,Millions,11776.0,NPI,8478.72,6
AUS,O,Current prices,1997,AUD,Millions,34978.0,NPI,25184.16,1
AUS,P,Current prices,1997,AUD,Millions,26578.0,NPI,19136.16,1
AUS,Q,Current prices,1997,AUD,Millions,29739.0,NPI,21412.079999999998,3
AUS,R,Current prices,1997,AUD,Millions,5651.0,NPI,4068.72,4
AUS,S,Current prices,1997,AUD,Millions,11563.0,NPI,8325.36,3
AUS,46,Current prices,1997,AUD,Millions,28566.0,NPI,20567.52,1
AUS,47,Current prices,1997,AUD,Millions,29480.0,NPI,21225.6,1
AUS,68A,Current prices,1997,AUD,Millions,46143.0,NPI,33222.96,1
AUS,TOT,Current prices,1998,AUD,Millions,571523.0,NPI,411496.56,99
AUS,A,Current prices,1998,AUD,Millions,18952.0,NPI,13645.439999999999,3
AUS,B,Current prices,1998,AUD,Millions,25443.0,NPI,18318.96,5
AUS,C,Current prices,1998,AUD,Millions,74218.0,NPI,53436.96,24
AUS,D,Current prices,1998,AUD,Millions,16058.0,NPI,11561.76,1
AUS,F,Current prices,1998,AUD,Millions,37231.0,NPI,26806.32,3
AUS,G,Current prices,1998,AUD,Millions,61090.0,NPI,43984.799999999996,2
AUS,H,Current prices,1998,AUD,Millions,30082.0,NPI,21659.04,5
AUS,I,Current prices,1998,AUD,Millions,15928.0,NPI,11468.16,2
AUS,J,Current prices,1998,AUD,Millions,24334.0,NPI,17520.48,2
AUS,K,Current prices,1998,AUD,Millions,48483.0,NPI,34907.76,3
AUS,L,Current prices,1998,AUD,Millions,61957.0,NPI,44609.04,1
AUS,M,Current prices,1998,AUD,Millions,28733.0,NPI,20687.76,7
AUS,N,Current prices,1998,AUD,Millions,13540.0,NPI,9748.8,6
AUS,O,Current prices,1998,AUD,Millions,36781.0,NPI,26482.32,1
AUS,P,Current prices,1998,AUD,Millions,28400.0,NPI,20448.0,1
AUS,Q,Current prices,1998,AUD,Millions,31988.0,NPI,23031.36,3
AUS,R,Current prices,1998,AUD,Millions,5910.0,NPI,4255.2,4
AUS,S,Current prices,1998,AUD,Millions,12395.0,NPI,8924.4,3
AUS,46,Current prices,1998,AUD,Millions,30093.0,NPI,21666.96,1
AUS,47,Current prices,1998,AUD,Millions,30997.0,NPI,22317.84,1
AUS,68A,Current prices,1998,AUD,Millions,48583.0,NPI,34979.76,1
AUS,TOT,Current prices,1999,AUD,Millions,609353.0,NPI,438734.16,99
AUS,A,Current prices,1999,AUD,Millions,20612.0,NPI,14840.64,3
AUS,B,Current prices,1999,AUD,Millions,28081.0,NPI,20218.32,5
AUS,C,Current prices,1999,AUD,Millions,76562.0,NPI,55124.64,24
