generic_sector_code,reporting_year,prtr_system,gva
82,1998,TRI,70833.97
17,1998,TRI,55766.24
1,1998,TRI,99325.65
45,1998,TRI,194140.89
85,1998,TRI,464950.37
96,1998,TRI,79338.76
32,1998,TRI,51879.93
30,1998,TRI,66778.64
28,1998,TRI,114058.41
31,1998,TRI,29628.45
72,1998,TRI,61493.38
86,1998,TRI,430077.38
84,1998,TRI,770034.95
61,1998,TRI,180811.55
36,1998,TRI,3326.8
42,1998,TRI,53764.09
71,1998,TRI,78897.28
51,1998,TRI,46696.89
39,1998,TRI,4770.23
69,1998,TRI,160867.74
18,1998,TRI,39626.62
93,1998,TRI,38018.7
63,1998,TRI,35195.56
95,1998,TRI,24637.98
14,1998,TRI,16815.16
59,1998,TRI,47676.42
47,1998,TRI,415818.78
50,1998,TRI,6634.84
94,1998,TRI,47388.0
2,1998,TRI,7943.33
12,1998,TRI,22752.26
58,1998,TRI,107504.56
68,1998,TRI,587829.36
62,1998,TRI,87737.48
74,1998,TRI,47813.88
41,1998,TRI,325335.06
77,1998,TRI,108069.7
66,1998,TRI,67617.86
70,1998,TRI,189485.2
56,1998,TRI,144980.06
81,1998,TRI,37174.64
43,1998,TRI,0.0
53,1998,TRI,77493.4
73,1998,TRI,40997.58
60,1998,TRI,38363.14
29,1999,TRI,124575.24
33,1999,TRI,13840.33
20,1999,TRI,109350.7
25,1999,TRI,116410.82
22,1999,TRI,65691.42
13,1999,TRI,28450.72
38,1999,TRI,19479.31
19,1999,TRI,38457.15
46,1999,TRI,430302.98
6,1999,TRI,41243.24
10,1999,TRI,103336.12
21,1999,TRI,78709.96
11,1999,TRI,15080.06
26,1999,TRI,187990.81
52,1999,TRI,53611.47
24,1999,TRI,56610.29
37,1999,TRI,492.23
5,1999,TRI,12560.78
7,1999,TRI,4242.37
16,1999,TRI,29274.59
35,1999,TRI,157972.66
23,1999,TRI,49771.44
15,1999,TRI,6958.98
8,1999,TRI,11096.44
9,1999,TRI,11098.19
49,1999,TRI,143624.85
27,1999,TRI,44506.92
82,1999,TRI,75943.52
17,1999,TRI,59290.17
1,1999,TRI,99250.64
45,1999,TRI,204553.19
85,1999,TRI,497735.64
96,1999,TRI,84203.72
32,1999,TRI,53915.72
30,1999,TRI,73756.38
28,1999,TRI,111753.31
31,1999,TRI,31616.91
72,1999,TRI,62946.74
86,1999,TRI,451778.57
84,1999,TRI,808027.98
61,1999,TRI,189448.5
36,1999,TRI,3490.55
42,1999,TRI,60393.51
71,1999,TRI,86015.95
51,1999,TRI,48704.12
39,1999,TRI,4946.31
69,1999,TRI,174388.36
18,1999,TRI,42105.06
93,1999,TRI,41344.74
63,1999,TRI,28933.6
95,1999,TRI,26150.53
14,1999,TRI,15422.5
59,1999,TRI,58842.58
47,1999,TRI,426969.12
50,1999,TRI,6687.98
94,1999,TRI,50957.57
2,1999,TRI,8949.08
12,1999,TRI,31380.42
58,1999,TRI,138290.14
68,1999,TRI,632755.47
62,1999,TRI,101465.6
74,1999,TRI,49968.12
41,1999,TRI,356442.58
77,1999,TRI,121856.74
66,1999,TRI,67257.97
70,1999,TRI,204639.24
56,1999,TRI,159673.56
81,1999,TRI,39942.98
43,1999,TRI,0.0
53,1999,TRI,74195.12
73,1999,TRI,47676.68
60,1999,TRI,41397.89
29,2000,TRI,127505.58
33,2000,TRI,15526.7
20,2000,TRI,105717.07
25,2000,TRI,120398.41
22,2000,TRI,65279.83
13,2000,TRI,27963.28
38,2000,TRI,20364.32
19,2000,TRI,45978.38
46,2000,TRI,464003.64
6,2000,TRI,63774.19
10,2000,TRI,103467.12
21,2000,TRI,81663.16
11,2000,TRI,14670.28
26,2000,TRI,227069.02
52,2000,TRI,61318.85
24,2000,TRI,58160.53
37,2000,TRI,438.26
5,2000,TRI,12212.56
7,2000,TRI,4307.2
16,2000,TRI,28212.26
35,2000,TRI,158005.18
23,2000,TRI,49139.19
15,2000,TRI,7188.16
8,2000,TRI,10462.4
9,2000,TRI,13779.69
49,2000,TRI,149872.16
27,2000,TRI,45605.89
82,2000,TRI,75981.53
17,2000,TRI,62096.64
1,2000,TRI,105750.31
45,2000,TRI,214309.43
85,2000,TRI,533231.76
96,2000,TRI,90752.31
32,2000,TRI,55799.82
30,2000,TRI,71063.72
28,2000,TRI,113597.05
31,2000,TRI,33489.04
72,2000,TRI,69644.64
86,2000,TRI,476744.59
84,2000,TRI,847000.58
61,2000,TRI,203548.36
36,2000,TRI,3199.37
42,2000,TRI,67516.72
71,2000,TRI,96171.83
51,2000,TRI,48084.83
39,2000,TRI,5204.02
69,2000,TRI,187899.0
18,2000,TRI,43623.86
93,2000,TRI,44419.42
63,2000,TRI,23642.51
95,2000,TRI,27872.05
14,2000,TRI,14950.78
59,2000,TRI,52653.51
47,2000,TRI,449287.76
50,2000,TRI,8190.72
94,2000,TRI,54482.46
2,2000,TRI,9451.94
12,2000,TRI,31668.83
58,2000,TRI,115069.93
