national_facility_and_generic_sector_id,generic_sector_code,sector
15726,28,4.687371624275464
22180,28,4.687371624275464
16257,28,4.687371624275464
31514,28,4.687371624275464
25422,27,4.33176213250464
33247,28,4.687371624275464
52371,26,4.029764486677171
42812,26,4.029764486677171
17878,26,4.029764486677171
44650,26,4.029764486677171
33562,26,4.029764486677171
13449,26,4.029764486677171
15843,26,4.029764486677171
38686,26,4.029764486677171
32773,26,4.029764486677171
9188,27,4.33176213250464
40184,27,4.33176213250464
22986,27,4.33176213250464
50445,27,4.33176213250464
36030,27,4.33176213250464
36361,27,4.33176213250464
6659,27,4.33176213250464
17435,27,4.33176213250464
12958,27,4.33176213250464
22989,29,4.088547011141102
34907,29,4.088547011141102
23204,29,4.088547011141102
31299,28,4.687371624275464
23519,28,4.687371624275464
32884,28,4.687371624275464
19086,28,4.687371624275464
23054,28,4.687371624275464
16155,30,4.417699950228338
57283,16,3.99355315824414
11048,25,4.384000622327908
8500,25,4.384000622327908
28524,20,3.443381881561369
33502,24,4.720494698936228
7013,24,4.720494698936228
14784,24,4.720494698936228
9162,24,4.720494698936228
56985,24,4.720494698936228
30381,24,4.720494698936228
32486,24,4.720494698936228
40775,25,4.384000622327908
32787,25,4.384000622327908
42893,28,4.687371624275464
54626,25,4.384000622327908
10808,25,4.384000622327908
44128,25,4.384000622327908
8345,25,4.384000622327908
9129,25,4.384000622327908
45573,25,4.384000622327908
6602,25,4.384000622327908
11557,25,4.384000622327908
15708,25,4.384000622327908
9711,28,4.687371624275464
16945,28,4.687371624275464
25660,22,3.844832709692199
16666,28,4.687371624275464
53110,28,4.687371624275464
36695,28,4.687371624275464
61531,28,4.687371624275464
37610,28,4.687371624275464
46256,28,4.687371624275464
44371,27,4.33176213250464
35244,26,4.029764486677171
47991,26,4.029764486677171
27447,26,4.029764486677171
10355,26,4.029764486677171
15547,26,4.029764486677171
18924,26,4.029764486677171
35587,26,4.029764486677171
48296,26,4.029764486677171
59993,26,4.029764486677171
47769,27,4.33176213250464
28600,27,4.33176213250464
51219,27,4.33176213250464
8176,27,4.33176213250464
16489,27,4.33176213250464
44295,27,4.33176213250464
40134,29,4.088547011141102
52306,29,4.088547011141102
15308,27,4.33176213250464
28597,27,4.33176213250464
28750,27,4.33176213250464
38677,25,4.384000622327908
33887,28,4.687371624275464
33888,28,4.687371624275464
28596,28,4.687371624275464
26715,25,4.384000622327908
